text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M
"_users_ Słyszałem, że Baranowicze piękne",twitter,0,1.8,1.2,1.0,1.0,1.0,1.6,3.4,1.8,0.0,0.2,0.04999999999999999,0.0,0.0,0.0,0.15000000000000002,0.6,0.2
Bronisze: Porzeczki (kolorowe) od 4 do 10 złotych za kilogram. Porzeczki czarne są droższe - od 18 do 20 złotych za kilogram,twitter,0,1.2,1.2,1.2,1.0,1.0,1.6,3.0,1.8,0.0,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.0,0.0,0.15000000000000002,0.5,0.2
:D Nominacje lecą do: Krzysztof Ryzlak Elżbieta Witek - poseł na Sejm RP Maciej Konieczny Klaudia Jachira - #JachirawSejmie,,0,3.2,1.4,1.2,1.4,1.0,2.4,3.8,2.8,1.0,0.55,0.09999999999999998,0.04999999999999999,0.09999999999999998,0.0,0.35,0.7,0.44999999999999996
"Czy ośrodek MOCOS, który zasłynął najbardziej błędną prognozą w historii kowida został już zlikwidowany? Oczywiście nie. Nadal ""prognozuje"". Znów oczywiście błędnie. Kto pogodni tę bandę hochsztaplerów z pseudotytułami? _link_ ",twitter,0,1.0,2.4,4.4,3.4,1.6,1.2,1.2,4.2,5.0,0.0,0.35,0.8500000000000001,0.6,0.15000000000000002,0.04999999999999999,0.04999999999999999,0.8
"Wizyta w Alma Mater _users_ zawsze napawa mnie dumą, a dyskusje o #Śląsk w tak zacnym gronie zawsze prowadzi do konstruktywnych działań, jak to na Śląsku💛💙 #MałgorzataMyśliwiec #TomaszSłupik #KOHUTwPE 🇪🇺 _link_ ",twitter,0,3.6,1.0,1.0,1.0,1.0,4.4,4.4,3.0,0.0,0.65,0.0,0.0,0.0,0.0,0.8500000000000001,0.8500000000000001,0.5
"W przypadku Polski przeciwników wiązania unijnych funduszy z praworządnością jest według powyższego badania jest tylko 16 proc. To nieco mniej niż na Węgrzech, gdzie jest ich 18 proc. Zdania w tej kwestii nie miało 12 proc. Polaków i 10 proc. Węgrów.",twitter,0,1.4,1.4,1.4,1.4,1.4,1.4,3.0,1.8,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.5,0.2
"Czy ten wirus pojawi się w Polsce, czy nie, to niczego to nie zmieni w trybie naszego postępowania. Moim zdaniem ten wirus w końcu się pojawi. Państwo polskie jest gotowe na ewentualne pojawienie się wirusa. To nic nie zmieni w tych trybach"" - zapewniał minister zdrowia",twitter,0,1.6,1.2,1.2,1.0,1.6,1.8,3.0,2.6,0.0,0.15000000000000002,0.04999999999999999,0.04999999999999999,0.0,0.15000000000000002,0.2,0.5,0.4
"_users_ Tylko, że w przypadku pani mecenas właśnie dokładnie to oznacza",twitter,0,1.0,1.4,3.4,2.0,1.0,1.4,1.8,3.4,2.0,0.0,0.09999999999999998,0.6,0.25,0.0,0.09999999999999998,0.2,0.6
Trumna gen. Franco wywleczone z grobu. A Europa i Polska milczy. To kolejna oznaka dekadencji Starego Kontynentu. Jak powstrzymać tę postępującą zapaść?,twitter,0,1.0,3.0,3.6,3.0,1.8,1.0,1.6,3.2,0.0,0.0,0.5,0.65,0.5,0.2,0.0,0.15000000000000002,0.55
Wielkość przewozów kolejowych w Chinach osiągnęła rekordowy poziom,twitter,0,2.2,1.0,1.0,1.0,1.0,2.4,3.4,1.2,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.35,0.6,0.04999999999999999
"Na skutek pandemii ""wielka piątka"" lig europejskich (Bundesliga, La Liga, Ligue 1, Premier League i Serie A) pozyskała 15,1 mld euro przychodów w sezonie 2019/2020, co stanowi 11-procentowy spadek w zestawieniu z poprzednim rokiem.",twitter,0,1.0,1.4,1.4,1.0,1.2,1.0,2.4,1.4,0.0,0.0,0.09999999999999998,0.09999999999999998,0.0,0.04999999999999999,0.0,0.35,0.09999999999999998
"_users_ Mało ich już jest, ale proszę wpaść do redakcji na Prostą 30 a jakiś piatek 12-14, to może jeszcze będzie;)",twitter,0,2.6,1.0,1.0,1.0,1.0,1.6,4.2,2.4,0.0,0.4,0.0,0.0,0.0,0.0,0.15000000000000002,0.8,0.35
"""Nie będą mnie oceniać"" - NCZAS.COM",,0,1.0,1.4,3.8,2.0,1.4,2.4,1.8,3.8,0.0,0.0,0.09999999999999998,0.7,0.25,0.09999999999999998,0.35,0.2,0.7
