word,emotion,score
heartfelt,joy,0.719
reverence,joy,0.424
adventure,joy,0.47
aura,joy,0.493
vivacious,joy,0.734
noschool,joy,0.516
devotional,joy,0.359
eternal,joy,0.469
truce,joy,0.281
kudos,joy,0.515
pay,joy,0.242
pleasing,joy,0.75
splendor,joy,0.788
kindred,joy,0.455
blessed,joy,0.833
baptismal,joy,0.368
elite,joy,0.547
fervor,joy,0.295
christmasspirit,joy,0.766
amusement,joy,0.719
majestic,joy,0.682
auspicious,joy,0.391
dance,joy,0.545
romanticism,joy,0.656
happyheart,joy,0.818
musical,joy,0.422
bouquet,joy,0.484
fidelity,joy,0.359
movies,joy,0.393
clap,joy,0.25
fruity,joy,0.268
reggae,joy,0.212
exaltation,joy,0.682
evergreen,joy,0.281
praisegod,joy,0.625
godisgreat,joy,0.721
giver,joy,0.353
choir,joy,0.391
memoriesiwontforget,joy,0.682
cream,joy,0.061
snowfall,joy,0.286
thriving,joy,0.719
playground,joy,0.391
exciting,joy,0.853
goodmood,joy,0.819
husband,joy,0.438
laugh,joy,0.891
humble,joy,0.344
exalted,joy,0.591
peacefully,joy,0.594
roadtrip,joy,0.344
rescue,joy,0.225
present,joy,0.441
wonderfully,joy,0.844
festive,joy,0.833
familytime,joy,0.515
marvellous,joy,0.833
overflowing,joy,0.588
bridegroom,joy,0.469
heal,joy,0.406
whoo,joy,0.594
salary,joy,0.234
joker,joy,0.297
kiss,joy,0.61
intense,joy,0.242
rapture,joy,0.485
purring,joy,0.469
greatful,joy,0.816
befriend,joy,0.455
nocomplaints,joy,0.485
celebrated,joy,0.859
yaay,joy,0.7
elevation,joy,0.455
heaven,joy,0.721
win,joy,0.727
glad,joy,0.781
accompaniment,joy,0.179
climax,joy,0.636
happyday,joy,0.809
ministry,joy,0.266
congratulatory,joy,0.719
books,joy,0.136
loveee,joy,0.932
summer,joy,0.591
wisdom,joy,0.312
generosity,joy,0.625
beginnings,joy,0.422
morals,joy,0.297
holiness,joy,0.531
hope,joy,0.586
movingon,joy,0.182
glorify,joy,0.781
masterpiece,joy,0.561
pathway,joy,0.188
gush,joy,0.545
cheerfulness,joy,0.758
pitter,joy,0.134
tinsel,joy,0.359
nature,joy,0.5
tuesday,joy,0.047
beaming,joy,0.938
godly,joy,0.514
edification,joy,0.333
carnival,joy,0.643
fulfill,joy,0.664
unsurpassed,joy,0.424
cookies,joy,0.344
merrychristmas,joy,0.712
pony,joy,0.312
breeze,joy,0.297
communion,joy,0.379
loyal,joy,0.485
manicure,joy,0.344
lifted,joy,0.547
exceed,joy,0.348
warm,joy,0.429
supremacy,joy,0.242
organization,joy,0.156
thankgod,joy,0.594
celestial,joy,0.547
santa,joy,0.727
thankful,joy,0.727
calf,joy,0.04
admiration,joy,0.734
paradise,joy,0.833
perfection,joy,0.779
deal,joy,0.312
balance,joy,0.275
achieved,joy,0.5
happier,joy,0.797
spirits,joy,0.375
awards,joy,0.609
waterfall,joy,0.453
hopeful,joy,0.559
muchneeded,joy,0.312
bless,joy,0.561
approve,joy,0.453
treasure,joy,0.652
hearts,joy,0.625
happiest,joy,0.986
saintly,joy,0.641
chai,joy,0.156
heroism,joy,0.576
preservative,joy,0.242
shopping,joy,0.382
favor,joy,0.348
delight,joy,0.765
fortune,joy,0.591
giggle,joy,0.802
amicable,joy,0.469
good,joy,0.547
homesweethome,joy,0.826
roadster,joy,0.125
happyholidays,joy,0.75
hee,joy,0.455
rainbows,joy,0.609
holiday,joy,0.712
hooray,joy,0.859
happytweet,joy,0.797
brightens,joy,0.682
forgiveness,joy,0.453
boisterous,joy,0.667
wind,joy,0.109
volunteer,joy,0.294
yey,joy,0.562
incense,joy,0.234
wedding,joy,0.641
revels,joy,0.562
dollhouse,joy,0.182
encouraged,joy,0.656
inspired,joy,0.606
goodfeeling,joy,0.766
ecstasy,joy,0.906
goodmorning,joy,0.547
goodvibes,joy,0.742
woods,joy,0.312
scenic,joy,0.375
thebest,joy,0.766
beaches,joy,0.375
charitable,joy,0.5
orgasm,joy,0.765
completion,joy,0.547
lsd,joy,0.286
medal,joy,0.424
superstar,joy,0.562
mademyday,joy,0.848
scripture,joy,0.196
silly,joy,0.516
approved,joy,0.486
thrill,joy,0.721
glorification,joy,0.733
enjoying,joy,0.771
magnificence,joy,0.797
reverend,joy,0.377
purify,joy,0.409
unwind,joy,0.281
tistheseason,joy,0.75
marvelously,joy,0.881
friend,joy,0.471
smiley,joy,0.812
hobby,joy,0.328
welcomed,joy,0.53
salutary,joy,0.465
food,joy,0.258
pond,joy,0.089
tantalizing,joy,0.572
friendly,joy,0.578
spectacular,joy,0.912
scenery,joy,0.453
