word,emotion,score
omniscient,trust,0.531
calf,trust,0.289
fill,trust,0.32
restorative,trust,0.555
disappointments,trust,0.203
collateral,trust,0.367
levee,trust,0.297
recommend,trust,0.609
blessing,trust,0.625
tribe,trust,0.586
angel,trust,0.625
present,trust,0.453
budget,trust,0.406
visionary,trust,0.594
fort,trust,0.562
inclusion,trust,0.555
referee,trust,0.484
invite,trust,0.43
star,trust,0.391
friendly,trust,0.547
strength,trust,0.656
salutary,trust,0.523
consul,trust,0.477
magnetic,trust,0.461
flaws,trust,0.227
unification,trust,0.734
helpful,trust,0.602
buddy,trust,0.555
erotic,trust,0.219
accountability,trust,0.664
indemnity,trust,0.445
instruct,trust,0.508
miracle,trust,0.562
servant,trust,0.344
majority,trust,0.539
intelligence,trust,0.719
gauging,trust,0.328
statistical,trust,0.445
matter,trust,0.477
lean,trust,0.383
canons,trust,0.328
reinforcement,trust,0.547
employ,trust,0.445
fabrication,trust,0.25
foresee,trust,0.453
relationships,trust,0.641
paragon,trust,0.523
excel,trust,0.609
eyewitness,trust,0.547
trustworthy,trust,0.867
honor,trust,0.844
majestic,trust,0.625
unaccountable,trust,0.172
judicious,trust,0.469
dubious,trust,0.195
excellent,trust,0.656
denial,trust,0.242
respectable,trust,0.773
nest,trust,0.398
salute,trust,0.492
school,trust,0.531
uncensured,trust,0.539
remedy,trust,0.516
swear,trust,0.328
securities,trust,0.547
musical,trust,0.492
worthy,trust,0.643
verification,trust,0.781
corroborate,trust,0.617
constant,trust,0.555
friendships,trust,0.75
sanctuary,trust,0.703
advice,trust,0.617
safeguard,trust,0.75
majesty,trust,0.5
steadfast,trust,0.656
scientist,trust,0.695
privy,trust,0.492
glorify,trust,0.406
agreement,trust,0.727
beautification,trust,0.508
atone,trust,0.438
loyal,trust,0.75
repute,trust,0.336
immaculate,trust,0.57
apologize,trust,0.477
accolade,trust,0.508
laudatory,trust,0.492
patronage,trust,0.508
heavenly,trust,0.57
fugitive,trust,0.141
temperate,trust,0.547
educational,trust,0.586
erased,trust,0.195
dogma,trust,0.367
savor,trust,0.508
eulogize,trust,0.422
faith,trust,0.742
concord,trust,0.484
dedication,trust,0.711
architecture,trust,0.539
excited,trust,0.453
attestation,trust,0.664
authorize,trust,0.633
evergreen,trust,0.531
praise,trust,0.609
counsellor,trust,0.57
romantic,trust,0.5
compliment,trust,0.516
cohesive,trust,0.672
tandem,trust,0.438
admiration,trust,0.703
reliability,trust,0.758
fitting,trust,0.406
communicate,trust,0.664
guru,trust,0.5
friend,trust,0.75
jurist,trust,0.562
strategist,trust,0.453
diary,trust,0.422
improve,trust,0.492
formative,trust,0.516
unwavering,trust,0.672
justifiable,trust,0.688
antiseptic,trust,0.422
partners,trust,0.727
intercession,trust,0.391
friendliness,trust,0.703
compensate,trust,0.562
recline,trust,0.391
authoritative,trust,0.578
protector,trust,0.68
advisable,trust,0.648
